통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수
통합,부산광역시,중구,추가아동양육비,,,202503,부산광역시,중구,추가아동양육비,19,,202502,부산광역시,중구,추가아동양육비,19,,202412,서울특별시,서초구,추가아동양육비,35,,202501,부산광역시,중구,추가아동양육비,21
통합,부산광역시,서구,아동양육비,,,202503,부산광역시,서구,아동양육비,584,,202502,부산광역시,서구,아동양육비,592,,202412,서울특별시,강남구,아동양육비,710,,202501,부산광역시,서구,아동양육비,592
통합,부산광역시,서구,생활보조금,,,202503,부산광역시,서구,생활보조금,1,,202502,부산광역시,서구,생활보조금,1,,202412,서울특별시,강남구,추가아동양육비,32,,202501,부산광역시,서구,생활보조금,1
통합,부산광역시,서구,추가아동양육비,,,202503,부산광역시,서구,추가아동양육비,61,,202502,부산광역시,서구,추가아동양육비,63,,202412,서울특별시,송파구,아동양육비,1379,,202501,부산광역시,서구,추가아동양육비,64
통합,부산광역시,동구,아동양육비,,,202503,부산광역시,동구,아동양육비,468,,202502,부산광역시,동구,아동양육비,472,,202412,서울특별시,송파구,추가아동양육비,116,,202501,부산광역시,동구,아동양육비,473
통합,부산광역시,동구,추가아동양육비,,,202503,부산광역시,동구,추가아동양육비,37,,202502,부산광역시,동구,추가아동양육비,38,,202412,서울특별시,송파구,학용품비,12,,202501,부산광역시,동구,추가아동양육비,38
통합,부산광역시,영도구,아동양육비,,,202503,부산광역시,영도구,아동양육비,707,,202502,부산광역시,영도구,아동양육비,705,,202412,서울특별시,강동구,아동양육비,1239,,202501,부산광역시,영도구,아동양육비,696
통합,부산광역시,영도구,생활보조금,,,202503,부산광역시,영도구,생활보조금,1,,202502,부산광역시,영도구,생활보조금,1,,202412,서울특별시,강동구,추가아동양육비,122,,202501,부산광역시,영도구,생활보조금,1
통합,부산광역시,영도구,추가아동양육비,,,202503,부산광역시,영도구,추가아동양육비,73,,202502,부산광역시,영도구,추가아동양육비,71,,202412,서울특별시,강동구,학용품비,5,,202501,부산광역시,영도구,추가아동양육비,70
통합,부산광역시,부산진구,아동양육비,,,202503,부산광역시,부산진구,아동양육비,1545,,202502,부산광역시,부산진구,아동양육비,1532,,202412,부산광역시,중구,아동양육비,216,,202501,부산광역시,부산진구,아동양육비,1533
