통계연월,통계시도명,통계시군구명,지원구분,지급건수
202503.0,서울특별시,마포구,생활보조금,1.0
202503.0,서울특별시,마포구,추가아동양육비,45.0
202503.0,서울특별시,양천구,아동양육비,1225.0
202503.0,서울특별시,양천구,추가아동양육비,122.0
202503.0,서울특별시,강서구,아동양육비,1872.0
202503.0,서울특별시,강서구,추가아동양육비,181.0
202503.0,서울특별시,구로구,아동양육비,1234.0
202503.0,서울특별시,구로구,생활보조금,3.0
202503.0,서울특별시,구로구,추가아동양육비,135.0
202503.0,서울특별시,금천구,아동양육비,935.0
202503.0,서울특별시,금천구,추가아동양육비,130.0
202503.0,서울특별시,영등포구,아동양육비,451.0
202503.0,서울특별시,영등포구,추가아동양육비,37.0
202503.0,서울특별시,동작구,아동양육비,610.0
202503.0,서울특별시,동작구,추가아동양육비,57.0
202503.0,서울특별시,관악구,아동양육비,1157.0
202503.0,서울특별시,관악구,추가아동양육비,105.0
202503.0,서울특별시,서초구,아동양육비,442.0
202503.0,서울특별시,서초구,추가아동양육비,36.0
202503.0,서울특별시,강남구,아동양육비,648.0
202503.0,서울특별시,강남구,추가아동양육비,31.0
202503.0,서울특별시,송파구,아동양육비,1263.0
202503.0,서울특별시,송파구,추가아동양육비,112.0
202503.0,서울특별시,강동구,아동양육비,1166.0
202503.0,서울특별시,강동구,추가아동양육비,122.0
202503.0,부산광역시,중구,아동양육비,195.0
202503.0,부산광역시,중구,추가아동양육비,19.0
202503.0,부산광역시,서구,아동양육비,584.0
202503.0,부산광역시,서구,생활보조금,1.0
202503.0,부산광역시,서구,추가아동양육비,61.0
202503.0,부산광역시,동구,아동양육비,468.0
202503.0,부산광역시,동구,추가아동양육비,37.0
202503.0,부산광역시,영도구,아동양육비,707.0
202503.0,부산광역시,영도구,생활보조금,1.0
202503.0,부산광역시,영도구,추가아동양육비,73.0
202503.0,부산광역시,부산진구,아동양육비,1545.0
202503.0,부산광역시,부산진구,추가아동양육비,126.0
202503.0,부산광역시,동래구,아동양육비,1025.0
202503.0,부산광역시,동래구,추가아동양육비,78.0
202503.0,부산광역시,남구,아동양육비,912.0
202503.0,부산광역시,남구,추가아동양육비,94.0
202503.0,부산광역시,북구,아동양육비,1502.0
202503.0,부산광역시,북구,추가아동양육비,164.0
202503.0,부산광역시,해운대구,아동양육비,1583.0
202503.0,부산광역시,해운대구,추가아동양육비,122.0
202503.0,부산광역시,사하구,아동양육비,1965.0
202503.0,부산광역시,사하구,생활보조금,2.0
202503.0,부산광역시,사하구,추가아동양육비,219.0
202503.0,부산광역시,금정구,아동양육비,803.0
202503.0,부산광역시,금정구,추가아동양육비,92.0
202503.0,부산광역시,강서구,아동양육비,652.0
202503.0,부산광역시,강서구,추가아동양육비,64.0
202503.0,부산광역시,연제구,아동양육비,923.0
202503.0,부산광역시,연제구,생활보조금,2.0
202503.0,부산광역시,연제구,추가아동양육비,94.0
202503.0,부산광역시,수영구,아동양육비,721.0
202503.0,부산광역시,수영구,추가아동양육비,75.0
202503.0,부산광역시,사상구,아동양육비,1041.0
202503.0,부산광역시,사상구,추가아동양육비,115.0
202503.0,부산광역시,기장군,아동양육비,1268.0
202503.0,부산광역시,기장군,추가아동양육비,86.0
202503.0,대구광역시,중구,아동양육비,315.0
202503.0,대구광역시,중구,생활보조금,2.0
202503.0,대구광역시,중구,추가아동양육비,36.0
202503.0,대구광역시,동구,아동양육비,1612.0
202503.0,대구광역시,동구,추가아동양육비,152.0
202503.0,대구광역시,서구,아동양육비,1106.0
202503.0,대구광역시,서구,생활보조금,2.0
202503.0,대구광역시,서구,추가아동양육비,119.0
202503.0,대구광역시,남구,아동양육비,1009.0
202503.0,대구광역시,남구,추가아동양육비,109.0
202503.0,대구광역시,북구,아동양육비,2134.0
202503.0,대구광역시,북구,추가아동양육비,202.0
202503.0,대구광역시,수성구,아동양육비,1504.0
202503.0,대구광역시,수성구,추가아동양육비,133.0
202503.0,대구광역시,달서구,아동양육비,2500.0
202503.0,대구광역시,달서구,생활보조금,5.0
202503.0,대구광역시,달서구,추가아동양육비,282.0
202503.0,대구광역시,달성군,아동양육비,1563.0
202503.0,대구광역시,달성군,추가아동양육비,167.0
202503.0,대구광역시,군위군,아동양육비,60.0
202503.0,대구광역시,군위군,추가아동양육비,8.0
202503.0,인천광역시,중구,아동양육비,815.0
202503.0,인천광역시,중구,추가아동양육비,103.0
202503.0,인천광역시,동구,아동양육비,300.0
202503.0,인천광역시,동구,추가아동양육비,37.0
202503.0,인천광역시,미추홀구,아동양육비,3340.0
202503.0,인천광역시,미추홀구,생활보조금,1.0
